Name,ID Number,Password,Lab 1,Lab 2,Lab 3,Lab 4,Midterm,Exam 1,Exam 2,Exam 3,Exam 4
Kacie Stephenson,1803933,FxRnMrXf,3,9,9,0,7,4,5,8,10
Yassin Jordan,1884159,KzNbVtQc,9,2,10,3,8,3,9,5,7
Lowri Mathews,1853847,McPpKoIw,9,0,0,2,17,6,10,7,4
Tiya Sheridan,1810192,CcYzWkCu,10,1,0,6,15,8,7,6,6
Nikola Forrest,1891352,UsOmBzZq,4,7,0,6,5,0,5,5,10
Veer Blair,1811313,RpXsHiAl,4,8,5,3,12,7,4,0,2
Isabelle Mcgrath,1804841,NqUzKaTm,1,7,4,0,13,8,9,6,0
Samir Greaves,1881925,EyAhYdJx,6,3,7,1,6,4,6,5,9
Zander Kendall,1877711,IgWnVzXz,8,10,5,4,17,4,8,10,2
Shahzaib Buckley,1830894,ZdXhReOx,4,5,7,9,8,5,7,0,6
Morgan Bush,1855191,VnXrLkAl,1,6,7,10,1,5,7,2,8
Amaan Robbins,1821012,FdHhAtTp,2,8,4,4,8,0,9,5,8
Theodore Lawson,1844339,OkQnLgSg,0,7,10,7,14,9,2,2,9
Ace Branch,1898468,XzZiThTl,10,1,3,7,11,9,9,3,6
Anthony Bernard,1883633,MhZkWqIn,4,1,10,8,19,10,9,9,9
Tobey Bell,1808742,BcZeOnRe,2,10,8,2,10,9,0,8,6
Jannat Cassidy,1863450,NvWnCqUi,5,2,4,5,10,4,5,9,3
Imran Marquez,1830190,MrSmXnCp,9,9,1,6,17,10,0,7,5
Amani Castro,1835544,QmAnBhZq,5,9,5,7,3,7,6,8,4
Blanka Holt,1820930,IlVmJiTv,9,5,2,0,8,6,0,7,10
